title,line number,line,itemized,itemized_no_punc,annotated,annotated_no_punc
Sonnet CXLII,8,"Be it lawful I love thee, as thou lovest those","('be', 'it', 'lawful', 'i', 'love', 'thee', ',', 'as', 'thou', 'lovest', 'those')","('be', 'it', 'lawful', 'i', 'love', 'thee', '', 'as', 'thou', 'lovest', 'those')","(('be', 1), ('it', 1), ('lawful', 2), ('i', 1), ('love', 1), ('thee', 1), (',', 0), ('as', 1), ('thou', 1), ('lovest', None), ('those', 1))","(('be', 1), ('it', 1), ('lawful', 2), ('i', 1), ('love', 1), ('thee', 1), ('', None), ('as', 1), ('thou', 1), ('lovest', None), ('those', 1))"
Sonnet CXLII,9,Whom thine eyes woo as mine importune thee:,"('whom', 'thine', 'eyes', 'woo', 'as', 'mine', 'importune', 'thee', ':')","('whom', 'thine', 'eyes', 'woo', 'as', 'mine', 'importune', 'thee', '')","(('whom', 1), ('thine', 1), ('eyes', 1), ('woo', 1), ('as', 1), ('mine', 1), ('importune', None), ('thee', 1), (':', None))","(('whom', 1), ('thine', 1), ('eyes', 1), ('woo', 1), ('as', 1), ('mine', 1), ('importune', None), ('thee', 1), ('', None))"
Sonnet CXLII,10,"Root pity in thy heart, that when it grows","('root', 'pity', 'in', 'thy', 'heart', ',', 'that', 'when', 'it', 'grows')","('root', 'pity', 'in', 'thy', 'heart', '', 'that', 'when', 'it', 'grows')","(('root', 1), ('pity', 2), ('in', 1), ('thy', 1), ('heart', 1), (',', 0), ('that', 1), ('when', 1), ('it', 1), ('grows', 1))","(('root', 1), ('pity', 2), ('in', 1), ('thy', 1), ('heart', 1), ('', None), ('that', 1), ('when', 1), ('it', 1), ('grows', 1))"
Sonnet CXLII,11,Thy pity may deserve to pitied be.,"('thy', 'pity', 'may', 'deserve', 'to', 'pitied', 'be', '.')","('thy', 'pity', 'may', 'deserve', 'to', 'pitied', 'be', '')","(('thy', 1), ('pity', 2), ('may', 1), ('deserve', 2), ('to', 1), ('pitied', 2), ('be', 1), ('.', 0))","(('thy', 1), ('pity', 2), ('may', 1), ('deserve', 2), ('to', 1), ('pitied', 2), ('be', 1), ('', None))"
Sonnet CXLII,12,"  If thou dost seek to have what thou dost hide,","('if', 'thou', 'dost', 'seek', 'to', 'have', 'what', 'thou', 'dost', 'hide', ',')","('', '', 'if', 'thou', 'dost', 'seek', 'to', 'have', 'what', 'thou', 'dost', 'hide', '')","(('if', 1), ('thou', 1), ('dost', 1), ('seek', 1), ('to', 1), ('have', 1), ('what', 1), ('thou', 1), ('dost', 1), ('hide', 1), (',', 0))","(('', None), ('', None), ('if', 1), ('thou', 1), ('dost', 1), ('seek', 1), ('to', 1), ('have', 1), ('what', 1), ('thou', 1), ('dost', 1), ('hide', 1), ('', None))"
Sonnet CXLII,13,  By self-example mayst thou be denied!,"('by', 'self', '-', 'example', 'mayst', 'thou', 'be', 'denied', '!')","('', '', 'by', 'self', 'example', 'mayst', 'thou', 'be', 'denied!')","(('by', 1), ('self', 1), ('-', 0), ('example', 3), ('mayst', None), ('thou', 1), ('be', 1), ('denied', 2), ('!', 0))","(('', None), ('', None), ('by', 1), ('self', 1), ('example', 3), ('mayst', None), ('thou', 1), ('be', 1), ('denied!', None))"
Sonnet CXLIII,0,Lo! as a careful housewife runs to catch,"('lo', '!', 'as', 'a', 'careful', 'housewife', 'runs', 'to', 'catch')","('lo!', 'as', 'a', 'careful', 'housewife', 'runs', 'to', 'catch')","(('lo', 1), ('!', 0), ('as', 1), ('a', 1), ('careful', 2), ('housewife', 2), ('runs', 1), ('to', 1), ('catch', 1))","(('lo!', None), ('as', 1), ('a', 1), ('careful', 2), ('housewife', 2), ('runs', 1), ('to', 1), ('catch', 1))"
Sonnet CXLIII,1,"One of her feather'd creatures broke away,","('one', 'of', 'her', ""feather'd"", 'creatures', 'broke', 'away', ',')","('one', 'of', 'her', ""feather'd"", 'creatures', 'broke', 'away', '')","(('one', 1), ('of', 1), ('her', 1), (""feather'd"", None), ('creatures', 2), ('broke', 1), ('away', 2), (',', 0))","(('one', 1), ('of', 1), ('her', 1), (""feather'd"", None), ('creatures', 2), ('broke', 1), ('away', 2), ('', None))"
Sonnet CXLIII,2,Sets down her babe and makes an swift dispatch,"('sets', 'down', 'her', 'babe', 'and', 'makes', 'an', 'swift', 'dispatch')","('sets', 'down', 'her', 'babe', 'and', 'makes', 'an', 'swift', 'dispatch')","(('sets', 1), ('down', 1), ('her', 1), ('babe', 1), ('and', 1), ('makes', 1), ('an', 1), ('swift', 1), ('dispatch', 2))","(('sets', 1), ('down', 1), ('her', 1), ('babe', 1), ('and', 1), ('makes', 1), ('an', 1), ('swift', 1), ('dispatch', 2))"
Sonnet CXLIII,3,"In pursuit of the thing she would have stay,","('in', 'pursuit', 'of', 'the', 'thing', 'she', 'would', 'have', 'stay', ',')","('in', 'pursuit', 'of', 'the', 'thing', 'she', 'would', 'have', 'stay', '')","(('in', 1), ('pursuit', 2), ('of', 1), ('the', 1), ('thing', 1), ('she', 1), ('would', 1), ('have', 1), ('stay', 1), (',', 0))","(('in', 1), ('pursuit', 2), ('of', 1), ('the', 1), ('thing', 1), ('she', 1), ('would', 1), ('have', 1), ('stay', 1), ('', None))"
Sonnet CXLIII,4,"Whilst her neglected child holds her in chase,","('whilst', 'her', 'neglected', 'child', 'holds', 'her', 'in', 'chase', ',')","('whilst', 'her', 'neglected', 'child', 'holds', 'her', 'in', 'chase', '')","(('whilst', 1), ('her', 1), ('neglected', 3), ('child', 1), ('holds', 1), ('her', 1), ('in', 1), ('chase', 1), (',', 0))","(('whilst', 1), ('her', 1), ('neglected', 3), ('child', 1), ('holds', 1), ('her', 1), ('in', 1), ('chase', 1), ('', None))"
Sonnet CXLIII,5,Cries to catch her whose busy care is bent,"('cries', 'to', 'catch', 'her', 'whose', 'busy', 'care', 'is', 'bent')","('cries', 'to', 'catch', 'her', 'whose', 'busy', 'care', 'is', 'bent')","(('cries', 1), ('to', 1), ('catch', 1), ('her', 1), ('whose', 1), ('busy', 2), ('care', 1), ('is', 1), ('bent', 1))","(('cries', 1), ('to', 1), ('catch', 1), ('her', 1), ('whose', 1), ('busy', 2), ('care', 1), ('is', 1), ('bent', 1))"
Sonnet CXLIII,6,"To follow that which flies before her face,","('to', 'follow', 'that', 'which', 'flies', 'before', 'her', 'face', ',')","('to', 'follow', 'that', 'which', 'flies', 'before', 'her', 'face', '')","(('to', 1), ('follow', 2), ('that', 1), ('which', 1), ('flies', 1), ('before', 2), ('her', 1), ('face', 1), (',', 0))","(('to', 1), ('follow', 2), ('that', 1), ('which', 1), ('flies', 1), ('before', 2), ('her', 1), ('face', 1), ('', None))"
Sonnet CXLIII,7,Not prizing her poor infant's discontent;,"('not', 'prizing', 'her', 'poor', ""infant's"", 'discontent', ';')","('not', 'prizing', 'her', 'poor', ""infant's"", 'discontent;')","(('not', 1), ('prizing', None), ('her', 1), ('poor', 1), (""infant's"", 2), ('discontent', 3), (';', 0))","(('not', 1), ('prizing', None), ('her', 1), ('poor', 1), (""infant's"", 2), ('discontent;', None))"
Sonnet CXLIII,8,"So runn'st thou after that which flies from thee,","('so', ""runn'st"", 'thou', 'after', 'that', 'which', 'flies', 'from', 'thee', ',')","('so', ""runn'st"", 'thou', 'after', 'that', 'which', 'flies', 'from', 'thee', '')","(('so', 1), (""runn'st"", None), ('thou', 1), ('after', 2), ('that', 1), ('which', 1), ('flies', 1), ('from', 1), ('thee', 1), (',', 0))","(('so', 1), (""runn'st"", None), ('thou', 1), ('after', 2), ('that', 1), ('which', 1), ('flies', 1), ('from', 1), ('thee', 1), ('', None))"
Sonnet CXLIII,9,Whilst I thy babe chase thee afar behind;,"('whilst', 'i', 'thy', 'babe', 'chase', 'thee', 'afar', 'behind', ';')","('whilst', 'i', 'thy', 'babe', 'chase', 'thee', 'afar', 'behind;')","(('whilst', 1), ('i', 1), ('thy', 1), ('babe', 1), ('chase', 1), ('thee', 1), ('afar', 2), ('behind', 2), (';', 0))","(('whilst', 1), ('i', 1), ('thy', 1), ('babe', 1), ('chase', 1), ('thee', 1), ('afar', 2), ('behind;', None))"
Sonnet CXLIII,10,"But if thou catch thy hope, turn back to me,","('but', 'if', 'thou', 'catch', 'thy', 'hope', ',', 'turn', 'back', 'to', 'me', ',')","('but', 'if', 'thou', 'catch', 'thy', 'hope', '', 'turn', 'back', 'to', 'me', '')","(('but', 1), ('if', 1), ('thou', 1), ('catch', 1), ('thy', 1), ('hope', 1), (',', 0), ('turn', 1), ('back', 1), ('to', 1), ('me', 1), (',', 0))","(('but', 1), ('if', 1), ('thou', 1), ('catch', 1), ('thy', 1), ('hope', 1), ('', None), ('turn', 1), ('back', 1), ('to', 1), ('me', 1), ('', None))"
Sonnet CXLIII,11,"And play the mother's part, kiss me, be kind:","('and', 'play', 'the', ""mother's"", 'part', ',', 'kiss', 'me', ',', 'be', 'kind', ':')","('and', 'play', 'the', ""mother's"", 'part', '', 'kiss', 'me', '', 'be', 'kind', '')","(('and', 1), ('play', 1), ('the', 1), (""mother's"", 2), ('part', 1), (',', 0), ('kiss', 1), ('me', 1), (',', 0), ('be', 1), ('kind', 1), (':', None))","(('and', 1), ('play', 1), ('the', 1), (""mother's"", 2), ('part', 1), ('', None), ('kiss', 1), ('me', 1), ('', None), ('be', 1), ('kind', 1), ('', None))"
Sonnet CXLIII,12,"  So will I pray that thou mayst have thy 'Will,'","('so', 'will', 'i', 'pray', 'that', 'thou', 'mayst', 'have', 'thy', ""'will"", ',', ""'"")","('', '', 'so', 'will', 'i', 'pray', 'that', 'thou', 'mayst', 'have', 'thy', ""'will"", ""'"")","(('so', 1), ('will', 1), ('i', 1), ('pray', 1), ('that', 1), ('thou', 1), ('mayst', None), ('have', 1), ('thy', 1), (""'will"", None), (',', 0), (""'"", None))","(('', None), ('', None), ('so', 1), ('will', 1), ('i', 1), ('pray', 1), ('that', 1), ('thou', 1), ('mayst', None), ('have', 1), ('thy', 1), (""'will"", None), (""'"", None))"
Sonnet CXLIII,13,"  If thou turn back, and my loud crying still.","('if', 'thou', 'turn', 'back', ',', 'and', 'my', 'loud', 'crying', 'still', '.')","('', '', 'if', 'thou', 'turn', 'back', '', 'and', 'my', 'loud', 'crying', 'still', '')","(('if', 1), ('thou', 1), ('turn', 1), ('back', 1), (',', 0), ('and', 1), ('my', 1), ('loud', 1), ('crying', 2), ('still', 1), ('.', 0))","(('', None), ('', None), ('if', 1), ('thou', 1), ('turn', 1), ('back', 1), ('', None), ('and', 1), ('my', 1), ('loud', 1), ('crying', 2), ('still', 1), ('', None))"
Sonnet CXLIV,0,"Two loves I have of comfort and despair,","('two', 'loves', 'i', 'have', 'of', 'comfort', 'and', 'despair', ',')","('two', 'loves', 'i', 'have', 'of', 'comfort', 'and', 'despair', '')","(('two', 1), ('loves', 1), ('i', 1), ('have', 1), ('of', 1), ('comfort', 2), ('and', 1), ('despair', 2), (',', 0))","(('two', 1), ('loves', 1), ('i', 1), ('have', 1), ('of', 1), ('comfort', 2), ('and', 1), ('despair', 2), ('', None))"
Sonnet CXLIV,1,Which like two spirits do suggest me still:,"('which', 'like', 'two', 'spirits', 'do', 'suggest', 'me', 'still', ':')","('which', 'like', 'two', 'spirits', 'do', 'suggest', 'me', 'still', '')","(('which', 1), ('like', 1), ('two', 1), ('spirits', 2), ('do', 1), ('suggest', 2), ('me', 1), ('still', 1), (':', None))","(('which', 1), ('like', 1), ('two', 1), ('spirits', 2), ('do', 1), ('suggest', 2), ('me', 1), ('still', 1), ('', None))"
Sonnet CXLIV,2,"The better angel is a man right fair,","('the', 'better', 'angel', 'is', 'a', 'man', 'right', 'fair', ',')","('the', 'better', 'angel', 'is', 'a', 'man', 'right', 'fair', '')","(('the', 1), ('better', 2), ('angel', 2), ('is', 1), ('a', 1), ('man', 1), ('right', 1), ('fair', 1), (',', 0))","(('the', 1), ('better', 2), ('angel', 2), ('is', 1), ('a', 1), ('man', 1), ('right', 1), ('fair', 1), ('', None))"
Sonnet CXLIV,3,The worser spirit a woman colour'd ill.,"('the', 'worser', 'spirit', 'a', 'woman', ""colour'd"", 'ill', '.')","('the', 'worser', 'spirit', 'a', 'woman', ""colour'd"", 'ill', '')","(('the', 1), ('worser', None), ('spirit', 2), ('a', 1), ('woman', 2), (""colour'd"", None), ('ill', 1), ('.', 0))","(('the', 1), ('worser', None), ('spirit', 2), ('a', 1), ('woman', 2), (""colour'd"", None), ('ill', 1), ('', None))"
Sonnet CXLIV,4,"To win me soon to hell, my female evil","('to', 'win', 'me', 'soon', 'to', 'hell', ',', 'my', 'female', 'evil')","('to', 'win', 'me', 'soon', 'to', 'hell', '', 'my', 'female', 'evil')","(('to', 1), ('win', 1), ('me', 1), ('soon', 1), ('to', 1), ('hell', 1), (',', 0), ('my', 1), ('female', 2), ('evil', 2))","(('to', 1), ('win', 1), ('me', 1), ('soon', 1), ('to', 1), ('hell', 1), ('', None), ('my', 1), ('female', 2), ('evil', 2))"
Sonnet CXLIV,5,"Tempteth my better angel from my side,","('tempteth', 'my', 'better', 'angel', 'from', 'my', 'side', ',')","('tempteth', 'my', 'better', 'angel', 'from', 'my', 'side', '')","(('tempteth', None), ('my', 1), ('better', 2), ('angel', 2), ('from', 1), ('my', 1), ('side', 1), (',', 0))","(('tempteth', None), ('my', 1), ('better', 2), ('angel', 2), ('from', 1), ('my', 1), ('side', 1), ('', None))"
Sonnet CXLIV,6,"And would corrupt my saint to be a devil,","('and', 'would', 'corrupt', 'my', 'saint', 'to', 'be', 'a', 'devil', ',')","('and', 'would', 'corrupt', 'my', 'saint', 'to', 'be', 'a', 'devil', '')","(('and', 1), ('would', 1), ('corrupt', 2), ('my', 1), ('saint', 1), ('to', 1), ('be', 1), ('a', 1), ('devil', 2), (',', 0))","(('and', 1), ('would', 1), ('corrupt', 2), ('my', 1), ('saint', 1), ('to', 1), ('be', 1), ('a', 1), ('devil', 2), ('', None))"
Sonnet CXLIV,7,Wooing his purity with her foul pride.,"('wooing', 'his', 'purity', 'with', 'her', 'foul', 'pride', '.')","('wooing', 'his', 'purity', 'with', 'her', 'foul', 'pride', '')","(('wooing', 2), ('his', 1), ('purity', 3), ('with', 1), ('her', 1), ('foul', 1), ('pride', 1), ('.', 0))","(('wooing', 2), ('his', 1), ('purity', 3), ('with', 1), ('her', 1), ('foul', 1), ('pride', 1), ('', None))"
Sonnet CXLIV,8,And whether that my angel be turn'd fiend,"('and', 'whether', 'that', 'my', 'angel', 'be', ""turn'd"", 'fiend')","('and', 'whether', 'that', 'my', 'angel', 'be', ""turn'd"", 'fiend')","(('and', 1), ('whether', 2), ('that', 1), ('my', 1), ('angel', 2), ('be', 1), (""turn'd"", None), ('fiend', 1))","(('and', 1), ('whether', 2), ('that', 1), ('my', 1), ('angel', 2), ('be', 1), (""turn'd"", None), ('fiend', 1))"
Sonnet CXLIV,9,"Suspect I may, but not directly tell;","('suspect', 'i', 'may', ',', 'but', 'not', 'directly', 'tell', ';')","('suspect', 'i', 'may', '', 'but', 'not', 'directly', 'tell;')","(('suspect', 2), ('i', 1), ('may', 1), (',', 0), ('but', 1), ('not', 1), ('directly', 3), ('tell', 1), (';', 0))","(('suspect', 2), ('i', 1), ('may', 1), ('', None), ('but', 1), ('not', 1), ('directly', 3), ('tell;', None))"
Sonnet CXLIV,10,"But being both from me, both to each friend,","('but', 'being', 'both', 'from', 'me', ',', 'both', 'to', 'each', 'friend', ',')","('but', 'being', 'both', 'from', 'me', '', 'both', 'to', 'each', 'friend', '')","(('but', 1), ('being', 2), ('both', 1), ('from', 1), ('me', 1), (',', 0), ('both', 1), ('to', 1), ('each', 1), ('friend', 1), (',', 0))","(('but', 1), ('being', 2), ('both', 1), ('from', 1), ('me', 1), ('', None), ('both', 1), ('to', 1), ('each', 1), ('friend', 1), ('', None))"
Sonnet CXLIV,11,I guess one angel in another's hell:,"('i', 'guess', 'one', 'angel', 'in', ""another's"", 'hell', ':')","('i', 'guess', 'one', 'angel', 'in', ""another's"", 'hell', '')","(('i', 1), ('guess', 1), ('one', 1), ('angel', 2), ('in', 1), (""another's"", 3), ('hell', 1), (':', None))","(('i', 1), ('guess', 1), ('one', 1), ('angel', 2), ('in', 1), (""another's"", 3), ('hell', 1), ('', None))"
Sonnet CXLIV,12,"  Yet this shall I ne'er know, but live in doubt,","('yet', 'this', 'shall', 'i', ""ne'er"", 'know', ',', 'but', 'live', 'in', 'doubt', ',')","('', '', 'yet', 'this', 'shall', 'i', ""ne'er"", 'know', '', 'but', 'live', 'in', 'doubt', '')","(('yet', 1), ('this', 1), ('shall', 1), ('i', 1), (""ne'er"", 1), ('know', 1), (',', 0), ('but', 1), ('live', 1), ('in', 1), ('doubt', 1), (',', 0))","(('', None), ('', None), ('yet', 1), ('this', 1), ('shall', 1), ('i', 1), (""ne'er"", 1), ('know', 1), ('', None), ('but', 1), ('live', 1), ('in', 1), ('doubt', 1), ('', None))"
Sonnet CXLIV,13,  Till my bad angel fire my good one out.,"('till', 'my', 'bad', 'angel', 'fire', 'my', 'good', 'one', 'out', '.')","('', '', 'till', 'my', 'bad', 'angel', 'fire', 'my', 'good', 'one', 'out', '')","(('till', 1), ('my', 1), ('bad', 1), ('angel', 2), ('fire', 2), ('my', 1), ('good', 1), ('one', 1), ('out', 1), ('.', 0))","(('', None), ('', None), ('till', 1), ('my', 1), ('bad', 1), ('angel', 2), ('fire', 2), ('my', 1), ('good', 1), ('one', 1), ('out', 1), ('', None))"
Sonnet CXLV,0,Those lips that Love's own hand did make,"('those', 'lips', 'that', ""love's"", 'own', 'hand', 'did', 'make')","('those', 'lips', 'that', ""love's"", 'own', 'hand', 'did', 'make')","(('those', 1), ('lips', 1), ('that', 1), (""love's"", 1), ('own', 1), ('hand', 1), ('did', 1), ('make', 1))","(('those', 1), ('lips', 1), ('that', 1), (""love's"", 1), ('own', 1), ('hand', 1), ('did', 1), ('make', 1))"
Sonnet CXLV,1,Breathed forth the sound that said 'I hate',"('breathed', 'forth', 'the', 'sound', 'that', 'said', ""'i"", ""hate'"")","('breathed', 'forth', 'the', 'sound', 'that', 'said', ""'i"", ""hate'"")","(('breathed', 1), ('forth', 1), ('the', 1), ('sound', 1), ('that', 1), ('said', 1), (""'i"", None), (""hate'"", None))","(('breathed', 1), ('forth', 1), ('the', 1), ('sound', 1), ('that', 1), ('said', 1), (""'i"", None), (""hate'"", None))"
Sonnet CXLV,2,To me that languish'd for her sake;,"('to', 'me', 'that', ""languish'd"", 'for', 'her', 'sake', ';')","('to', 'me', 'that', ""languish'd"", 'for', 'her', 'sake;')","(('to', 1), ('me', 1), ('that', 1), (""languish'd"", None), ('for', 1), ('her', 1), ('sake', 1), (';', 0))","(('to', 1), ('me', 1), ('that', 1), (""languish'd"", None), ('for', 1), ('her', 1), ('sake;', None))"
Sonnet CXLV,3,"But when she saw my woeful state,","('but', 'when', 'she', 'saw', 'my', 'woeful', 'state', ',')","('but', 'when', 'she', 'saw', 'my', 'woeful', 'state', '')","(('but', 1), ('when', 1), ('she', 1), ('saw', 1), ('my', 1), ('woeful', 2), ('state', 1), (',', 0))","(('but', 1), ('when', 1), ('she', 1), ('saw', 1), ('my', 1), ('woeful', 2), ('state', 1), ('', None))"
Sonnet CXLV,4,"Straight in her heart did mercy come,","('straight', 'in', 'her', 'heart', 'did', 'mercy', 'come', ',')","('straight', 'in', 'her', 'heart', 'did', 'mercy', 'come', '')","(('straight', 1), ('in', 1), ('her', 1), ('heart', 1), ('did', 1), ('mercy', 2), ('come', 1), (',', 0))","(('straight', 1), ('in', 1), ('her', 1), ('heart', 1), ('did', 1), ('mercy', 2), ('come', 1), ('', None))"
Sonnet CXLV,5,Chiding that tongue that ever sweet,"('chiding', 'that', 'tongue', 'that', 'ever', 'sweet')","('chiding', 'that', 'tongue', 'that', 'ever', 'sweet')","(('chiding', 2), ('that', 1), ('tongue', 1), ('that', 1), ('ever', 2), ('sweet', 1))","(('chiding', 2), ('that', 1), ('tongue', 1), ('that', 1), ('ever', 2), ('sweet', 1))"
Sonnet CXLV,6,"Was used in giving gentle doom,","('was', 'used', 'in', 'giving', 'gentle', 'doom', ',')","('was', 'used', 'in', 'giving', 'gentle', 'doom', '')","(('was', 1), ('used', 1), ('in', 1), ('giving', 2), ('gentle', 2), ('doom', 1), (',', 0))","(('was', 1), ('used', 1), ('in', 1), ('giving', 2), ('gentle', 2), ('doom', 1), ('', None))"
Sonnet CXLV,7,And taught it thus anew to greet:,"('and', 'taught', 'it', 'thus', 'anew', 'to', 'greet', ':')","('and', 'taught', 'it', 'thus', 'anew', 'to', 'greet', '')","(('and', 1), ('taught', 1), ('it', 1), ('thus', 1), ('anew', 2), ('to', 1), ('greet', 1), (':', None))","(('and', 1), ('taught', 1), ('it', 1), ('thus', 1), ('anew', 2), ('to', 1), ('greet', 1), ('', None))"
Sonnet CXLV,8,"'I hate' she alter'd with an end,","(""'i"", ""hate'"", 'she', ""alter'd"", 'with', 'an', 'end', ',')","(""'i"", ""hate'"", 'she', ""alter'd"", 'with', 'an', 'end', '')","((""'i"", None), (""hate'"", None), ('she', 1), (""alter'd"", None), ('with', 1), ('an', 1), ('end', 1), (',', 0))","((""'i"", None), (""hate'"", None), ('she', 1), (""alter'd"", None), ('with', 1), ('an', 1), ('end', 1), ('', None))"
Sonnet CXLV,9,That follow'd it as gentle day,"('that', ""follow'd"", 'it', 'as', 'gentle', 'day')","('that', ""follow'd"", 'it', 'as', 'gentle', 'day')","(('that', 1), (""follow'd"", None), ('it', 1), ('as', 1), ('gentle', 2), ('day', 1))","(('that', 1), (""follow'd"", None), ('it', 1), ('as', 1), ('gentle', 2), ('day', 1))"
Sonnet CXLV,10,"Doth follow night, who like a fiend","('doth', 'follow', 'night', ',', 'who', 'like', 'a', 'fiend')","('doth', 'follow', 'night', '', 'who', 'like', 'a', 'fiend')","(('doth', 1), ('follow', 2), ('night', 1), (',', 0), ('who', 1), ('like', 1), ('a', 1), ('fiend', 1))","(('doth', 1), ('follow', 2), ('night', 1), ('', None), ('who', 1), ('like', 1), ('a', 1), ('fiend', 1))"
Sonnet CXLV,11,From heaven to hell is flown away;,"('from', 'heaven', 'to', 'hell', 'is', 'flown', 'away', ';')","('from', 'heaven', 'to', 'hell', 'is', 'flown', 'away;')","(('from', 1), ('heaven', 2), ('to', 1), ('hell', 1), ('is', 1), ('flown', 1), ('away', 2), (';', 0))","(('from', 1), ('heaven', 2), ('to', 1), ('hell', 1), ('is', 1), ('flown', 1), ('away;', None))"
Sonnet CXLV,12,"  'I hate' from hate away she threw,","(""'i"", ""hate'"", 'from', 'hate', 'away', 'she', 'threw', ',')","('', '', ""'i"", ""hate'"", 'from', 'hate', 'away', 'she', 'threw', '')","((""'i"", None), (""hate'"", None), ('from', 1), ('hate', 1), ('away', 2), ('she', 1), ('threw', 1), (',', 0))","(('', None), ('', None), (""'i"", None), (""hate'"", None), ('from', 1), ('hate', 1), ('away', 2), ('she', 1), ('threw', 1), ('', None))"
Sonnet CXLV,13,"  And saved my life, saying 'not you.'","('and', 'saved', 'my', 'life', ',', 'saying', ""'not"", 'you', '.', ""'"")","('', '', 'and', 'saved', 'my', 'life', '', 'saying', ""'not"", 'you', ""'"")","(('and', 1), ('saved', 1), ('my', 1), ('life', 1), (',', 0), ('saying', 2), (""'not"", None), ('you', 1), ('.', 0), (""'"", None))","(('', None), ('', None), ('and', 1), ('saved', 1), ('my', 1), ('life', 1), ('', None), ('saying', 2), (""'not"", None), ('you', 1), (""'"", None))"
Sonnet CXLVI,0,"Poor soul, the centre of my sinful earth,","('poor', 'soul', ',', 'the', 'centre', 'of', 'my', 'sinful', 'earth', ',')","('poor', 'soul', '', 'the', 'centre', 'of', 'my', 'sinful', 'earth', '')","(('poor', 1), ('soul', 1), (',', 0), ('the', 1), ('centre', 2), ('of', 1), ('my', 1), ('sinful', 2), ('earth', 1), (',', 0))","(('poor', 1), ('soul', 1), ('', None), ('the', 1), ('centre', 2), ('of', 1), ('my', 1), ('sinful', 2), ('earth', 1), ('', None))"
Sonnet CXLVI,1,[         ] these rebel powers that thee array;,"('these', 'rebel', 'powers', 'that', 'thee', 'array', ';')","('[', '', '', '', '', '', '', '', '', ']', 'these', 'rebel', 'powers', 'that', 'thee', 'array;')","(('these', 1), ('rebel', 2), ('powers', 2), ('that', 1), ('thee', 1), ('array', 2), (';', 0))","(('[', None), ('', None), ('', None), ('', None), ('', None), ('', None), ('', None), ('', None), ('', None), (']', None), ('these', 1), ('rebel', 2), ('powers', 2), ('that', 1), ('thee', 1), ('array;', None))"
Sonnet CXLVI,2,"Why dost thou pine within and suffer dearth,","('why', 'dost', 'thou', 'pine', 'within', 'and', 'suffer', 'dearth', ',')","('why', 'dost', 'thou', 'pine', 'within', 'and', 'suffer', 'dearth', '')","(('why', 1), ('dost', 1), ('thou', 1), ('pine', 1), ('within', 2), ('and', 1), ('suffer', 2), ('dearth', 1), (',', 0))","(('why', 1), ('dost', 1), ('thou', 1), ('pine', 1), ('within', 2), ('and', 1), ('suffer', 2), ('dearth', 1), ('', None))"
Sonnet CXLVI,3,Painting thy outward walls so costly gay?,"('painting', 'thy', 'outward', 'walls', 'so', 'costly', 'gay', '?')","('painting', 'thy', 'outward', 'walls', 'so', 'costly', 'gay?')","(('painting', 2), ('thy', 1), ('outward', 2), ('walls', 1), ('so', 1), ('costly', 2), ('gay', 1), ('?', None))","(('painting', 2), ('thy', 1), ('outward', 2), ('walls', 1), ('so', 1), ('costly', 2), ('gay?', None))"
Sonnet CXLVI,4,"Why so large cost, having so short a lease,","('why', 'so', 'large', 'cost', ',', 'having', 'so', 'short', 'a', 'lease', ',')","('why', 'so', 'large', 'cost', '', 'having', 'so', 'short', 'a', 'lease', '')","(('why', 1), ('so', 1), ('large', 1), ('cost', 1), (',', 0), ('having', 2), ('so', 1), ('short', 1), ('a', 1), ('lease', 1), (',', 0))","(('why', 1), ('so', 1), ('large', 1), ('cost', 1), ('', None), ('having', 2), ('so', 1), ('short', 1), ('a', 1), ('lease', 1), ('', None))"
Sonnet CXLVI,5,Dost thou upon thy fading mansion spend?,"('dost', 'thou', 'upon', 'thy', 'fading', 'mansion', 'spend', '?')","('dost', 'thou', 'upon', 'thy', 'fading', 'mansion', 'spend?')","(('dost', 1), ('thou', 1), ('upon', 2), ('thy', 1), ('fading', 2), ('mansion', 2), ('spend', 1), ('?', None))","(('dost', 1), ('thou', 1), ('upon', 2), ('thy', 1), ('fading', 2), ('mansion', 2), ('spend?', None))"
Sonnet CXLVI,6,"Shall worms, inheritors of this excess,","('shall', 'worms', ',', 'inheritors', 'of', 'this', 'excess', ',')","('shall', 'worms', '', 'inheritors', 'of', 'this', 'excess', '')","(('shall', 1), ('worms', 1), (',', 0), ('inheritors', None), ('of', 1), ('this', 1), ('excess', 2), (',', 0))","(('shall', 1), ('worms', 1), ('', None), ('inheritors', None), ('of', 1), ('this', 1), ('excess', 2), ('', None))"
Sonnet CXLVI,7,Eat up thy charge? is this thy body's end?,"('eat', 'up', 'thy', 'charge', '?', 'is', 'this', 'thy', ""body's"", 'end', '?')","('eat', 'up', 'thy', 'charge?', 'is', 'this', 'thy', ""body's"", 'end?')","(('eat', 1), ('up', 1), ('thy', 1), ('charge', 1), ('?', None), ('is', 1), ('this', 1), ('thy', 1), (""body's"", 2), ('end', 1), ('?', None))","(('eat', 1), ('up', 1), ('thy', 1), ('charge?', None), ('is', 1), ('this', 1), ('thy', 1), (""body's"", 2), ('end?', None))"
