previous_word,one_word,one_word_next,two_word,two_word_next,three_gram,three_word_next
"(""'will'"", None)","('will', 1)","('fulfil', 2)","(('will', 'fulfil'), None)","('the', 1)","(('will', 'fulfil', 'the'), None)","('treasure', 2)"
"('will', 1)","('fulfil', 2)","('the', 1)","(('fulfil', 'the'), None)","('treasure', 2)","(('fulfil', 'the', 'treasure'), None)","('of', 1)"
"('fulfil', 2)","('the', 1)","('treasure', 2)","(('the', 'treasure'), None)","('of', 1)","(('the', 'treasure', 'of'), None)","('thy', 1)"
"('the', 1)","('treasure', 2)","('of', 1)","(('treasure', 'of'), None)","('thy', 1)","(('treasure', 'of', 'thy'), None)","('love', 1)"
"('treasure', 2)","('of', 1)","('thy', 1)","(('of', 'thy'), None)","('love', 1)","(('of', 'thy', 'love'), None)","(',', 0)"
"('of', 1)","('thy', 1)","('love', 1)","(('thy', 'love'), None)","(',', 0)","(('thy', 'love', ','), None)","('\n', 0)"
"('thy', 1)","('love', 1)","(',', 0)","(('love', ','), None)","('\n', 0)","('\n', 0)","('\n', 0)"
"('love', 1)","(',', 0)","('\n', 0)","('\n', 0)","('\n', 0)","('\n', 0)","('\n', 0)"
"('\n', 0)","('ay', 1)","(',', 0)","(('ay', ','), None)","('fill', 1)","(('ay', ',', 'fill'), None)","('it', 1)"
"('ay', 1)","(',', 0)","('fill', 1)","((',', 'fill'), None)","('it', 1)","((',', 'fill', 'it'), None)","('full', 1)"
"(',', 0)","('fill', 1)","('it', 1)","(('fill', 'it'), None)","('full', 1)","(('fill', 'it', 'full'), None)","('with', 1)"
"('fill', 1)","('it', 1)","('full', 1)","(('it', 'full'), None)","('with', 1)","(('it', 'full', 'with'), None)","('wills', 1)"
"('it', 1)","('full', 1)","('with', 1)","(('full', 'with'), None)","('wills', 1)","(('full', 'with', 'wills'), None)","(',', 0)"
"('full', 1)","('with', 1)","('wills', 1)","(('with', 'wills'), None)","(',', 0)","(('with', 'wills', ','), None)","('and', 1)"
"('with', 1)","('wills', 1)","(',', 0)","(('wills', ','), None)","('and', 1)","(('wills', ',', 'and'), None)","('my', 1)"
"('wills', 1)","(',', 0)","('and', 1)","((',', 'and'), None)","('my', 1)","((',', 'and', 'my'), None)","('will', 1)"
"(',', 0)","('and', 1)","('my', 1)","(('and', 'my'), None)","('will', 1)","(('and', 'my', 'will'), None)","('one', 1)"
"('and', 1)","('my', 1)","('will', 1)","(('my', 'will'), None)","('one', 1)","(('my', 'will', 'one'), None)","('.', 0)"
"('my', 1)","('will', 1)","('one', 1)","(('will', 'one'), None)","('.', 0)","(('will', 'one', '.'), None)","('\n', 0)"
"('will', 1)","('one', 1)","('.', 0)","(('one', '.'), None)","('\n', 0)","('\n', 0)","('\n', 0)"
"('one', 1)","('.', 0)","('\n', 0)","('\n', 0)","('\n', 0)","('\n', 0)","('\n', 0)"
"('\n', 0)","('in', 1)","('things', 1)","(('in', 'things'), None)","('of', 1)","(('in', 'things', 'of'), None)","('great', 1)"
"('in', 1)","('things', 1)","('of', 1)","(('things', 'of'), None)","('great', 1)","(('things', 'of', 'great'), None)","('receipt', 2)"
"('things', 1)","('of', 1)","('great', 1)","(('of', 'great'), None)","('receipt', 2)","(('of', 'great', 'receipt'), None)","('with', 1)"
"('of', 1)","('great', 1)","('receipt', 2)","(('great', 'receipt'), None)","('with', 1)","(('great', 'receipt', 'with'), None)","('ease', 1)"
"('great', 1)","('receipt', 2)","('with', 1)","(('receipt', 'with'), None)","('ease', 1)","(('receipt', 'with', 'ease'), None)","('we', 1)"
"('receipt', 2)","('with', 1)","('ease', 1)","(('with', 'ease'), None)","('we', 1)","(('with', 'ease', 'we'), None)","('prove', 1)"
"('with', 1)","('ease', 1)","('we', 1)","(('ease', 'we'), None)","('prove', 1)","(('ease', 'we', 'prove'), None)","('\n', 0)"
"('ease', 1)","('we', 1)","('prove', 1)","(('we', 'prove'), None)","('\n', 0)","('\n', 0)","('\n', 0)"
"('we', 1)","('prove', 1)","('\n', 0)","('\n', 0)","('\n', 0)","('\n', 0)","('\n', 0)"
"('\n', 0)","('among', 2)","('a', 1)","(('among', 'a'), None)","('number', 2)","(('among', 'a', 'number'), None)","('one', 1)"
"('among', 2)","('a', 1)","('number', 2)","(('a', 'number'), None)","('one', 1)","(('a', 'number', 'one'), None)","('is', 1)"
"('a', 1)","('number', 2)","('one', 1)","(('number', 'one'), None)","('is', 1)","(('number', 'one', 'is'), None)","(""reckon'd"", None)"
"('number', 2)","('one', 1)","('is', 1)","(('one', 'is'), None)","(""reckon'd"", None)","(('one', 'is', ""reckon'd""), None)","('none', 1)"
"('one', 1)","('is', 1)","(""reckon'd"", None)","(('is', ""reckon'd""), None)","('none', 1)","(('is', ""reckon'd"", 'none'), None)","(':', None)"
"('is', 1)","(""reckon'd"", None)","('none', 1)","((""reckon'd"", 'none'), None)","(':', None)","((""reckon'd"", 'none', ':'), None)","('\n', 0)"
"(""reckon'd"", None)","('none', 1)","(':', None)","(('none', ':'), None)","('\n', 0)","('\n', 0)","('\n', 0)"
"('none', 1)","(':', None)","('\n', 0)","('\n', 0)","('\n', 0)","('\n', 0)","('\n', 0)"
"('\n', 0)","('then', 1)","('in', 1)","(('then', 'in'), None)","('the', 1)","(('then', 'in', 'the'), None)","('number', 2)"
"('then', 1)","('in', 1)","('the', 1)","(('in', 'the'), None)","('number', 2)","(('in', 'the', 'number'), None)","('let', 1)"
"('in', 1)","('the', 1)","('number', 2)","(('the', 'number'), None)","('let', 1)","(('the', 'number', 'let'), None)","('me', 1)"
"('the', 1)","('number', 2)","('let', 1)","(('number', 'let'), None)","('me', 1)","(('number', 'let', 'me'), None)","('pass', 1)"
"('number', 2)","('let', 1)","('me', 1)","(('let', 'me'), None)","('pass', 1)","(('let', 'me', 'pass'), None)","('untold', 2)"
"('let', 1)","('me', 1)","('pass', 1)","(('me', 'pass'), None)","('untold', 2)","(('me', 'pass', 'untold'), None)","(',', 0)"
"('me', 1)","('pass', 1)","('untold', 2)","(('pass', 'untold'), None)","(',', 0)","(('pass', 'untold', ','), None)","('\n', 0)"
"('pass', 1)","('untold', 2)","(',', 0)","(('untold', ','), None)","('\n', 0)","('\n', 0)","('\n', 0)"
"('untold', 2)","(',', 0)","('\n', 0)","('\n', 0)","('\n', 0)","('\n', 0)","('\n', 0)"
"('\n', 0)","('though', 1)","('in', 1)","(('though', 'in'), None)","('thy', 1)","(('though', 'in', 'thy'), None)","(""stores'"", 1)"
"('though', 1)","('in', 1)","('thy', 1)","(('in', 'thy'), None)","(""stores'"", 1)","(('in', 'thy', ""stores'""), None)","('account', 2)"
"('in', 1)","('thy', 1)","(""stores'"", 1)","(('thy', ""stores'""), None)","('account', 2)","(('thy', ""stores'"", 'account'), None)","('i', 1)"
"('thy', 1)","(""stores'"", 1)","('account', 2)","((""stores'"", 'account'), None)","('i', 1)","((""stores'"", 'account', 'i'), None)","('one', 1)"
"(""stores'"", 1)","('account', 2)","('i', 1)","(('account', 'i'), None)","('one', 1)","(('account', 'i', 'one'), None)","('must', 1)"
"('account', 2)","('i', 1)","('one', 1)","(('i', 'one'), None)","('must', 1)","(('i', 'one', 'must'), None)","('be', 1)"
"('i', 1)","('one', 1)","('must', 1)","(('one', 'must'), None)","('be', 1)","(('one', 'must', 'be'), None)","(';', 0)"
"('one', 1)","('must', 1)","('be', 1)","(('must', 'be'), None)","(';', 0)","(('must', 'be', ';'), None)","('\n', 0)"
"('must', 1)","('be', 1)","(';', 0)","(('be', ';'), None)","('\n', 0)","('\n', 0)","('\n', 0)"
"('be', 1)","(';', 0)","('\n', 0)","('\n', 0)","('\n', 0)","('\n', 0)","('\n', 0)"
"('\n', 0)","('for', 1)","('nothing', 2)","(('for', 'nothing'), None)","('hold', 1)","(('for', 'nothing', 'hold'), None)","('me', 1)"
"('for', 1)","('nothing', 2)","('hold', 1)","(('nothing', 'hold'), None)","('me', 1)","(('nothing', 'hold', 'me'), None)","(',', 0)"
"('nothing', 2)","('hold', 1)","('me', 1)","(('hold', 'me'), None)","(',', 0)","(('hold', 'me', ','), None)","('so', 1)"
"('hold', 1)","('me', 1)","(',', 0)","(('me', ','), None)","('so', 1)","(('me', ',', 'so'), None)","('it', 1)"
"('me', 1)","(',', 0)","('so', 1)","((',', 'so'), None)","('it', 1)","((',', 'so', 'it'), None)","('please', 1)"
"(',', 0)","('so', 1)","('it', 1)","(('so', 'it'), None)","('please', 1)","(('so', 'it', 'please'), None)","('thee', 1)"
"('so', 1)","('it', 1)","('please', 1)","(('it', 'please'), None)","('thee', 1)","(('it', 'please', 'thee'), None)","('hold', 1)"
"('it', 1)","('please', 1)","('thee', 1)","(('please', 'thee'), None)","('hold', 1)","(('please', 'thee', 'hold'), None)","('\n', 0)"
"('please', 1)","('thee', 1)","('hold', 1)","(('thee', 'hold'), None)","('\n', 0)","('\n', 0)","('\n', 0)"
"('thee', 1)","('hold', 1)","('\n', 0)","('\n', 0)","('\n', 0)","('\n', 0)","('\n', 0)"
"('\n', 0)","('that', 1)","('nothing', 2)","(('that', 'nothing'), None)","('me', 1)","(('that', 'nothing', 'me'), None)","(',', 0)"
"('that', 1)","('nothing', 2)","('me', 1)","(('nothing', 'me'), None)","(',', 0)","(('nothing', 'me', ','), None)","('a', 1)"
"('nothing', 2)","('me', 1)","(',', 0)","(('me', ','), None)","('a', 1)","(('me', ',', 'a'), None)","('something', 2)"
"('me', 1)","(',', 0)","('a', 1)","((',', 'a'), None)","('something', 2)","((',', 'a', 'something'), None)","('sweet', 1)"
"(',', 0)","('a', 1)","('something', 2)","(('a', 'something'), None)","('sweet', 1)","(('a', 'something', 'sweet'), None)","('to', 1)"
"('a', 1)","('something', 2)","('sweet', 1)","(('something', 'sweet'), None)","('to', 1)","(('something', 'sweet', 'to'), None)","('thee', 1)"
"('something', 2)","('sweet', 1)","('to', 1)","(('sweet', 'to'), None)","('thee', 1)","(('sweet', 'to', 'thee'), None)","(':', None)"
"('sweet', 1)","('to', 1)","('thee', 1)","(('to', 'thee'), None)","(':', None)","(('to', 'thee', ':'), None)","('\n', 0)"
"('to', 1)","('thee', 1)","(':', None)","(('thee', ':'), None)","('\n', 0)","('\n', 0)","('\n', 0)"
"('thee', 1)","(':', None)","('\n', 0)","('\n', 0)","('\n', 0)","('\n', 0)","('\n', 0)"
"('\n', 0)","('make', 1)","('but', 1)","(('make', 'but'), None)","('my', 1)","(('make', 'but', 'my'), None)","('name', 1)"
"('make', 1)","('but', 1)","('my', 1)","(('but', 'my'), None)","('name', 1)","(('but', 'my', 'name'), None)","('thy', 1)"
"('but', 1)","('my', 1)","('name', 1)","(('my', 'name'), None)","('thy', 1)","(('my', 'name', 'thy'), None)","('love', 1)"
"('my', 1)","('name', 1)","('thy', 1)","(('name', 'thy'), None)","('love', 1)","(('name', 'thy', 'love'), None)","(',', 0)"
"('name', 1)","('thy', 1)","('love', 1)","(('thy', 'love'), None)","(',', 0)","(('thy', 'love', ','), None)","('and', 1)"
"('thy', 1)","('love', 1)","(',', 0)","(('love', ','), None)","('and', 1)","(('love', ',', 'and'), None)","('love', 1)"
"('love', 1)","(',', 0)","('and', 1)","((',', 'and'), None)","('love', 1)","((',', 'and', 'love'), None)","('that', 1)"
"(',', 0)","('and', 1)","('love', 1)","(('and', 'love'), None)","('that', 1)","(('and', 'love', 'that'), None)","('still', 1)"
"('and', 1)","('love', 1)","('that', 1)","(('love', 'that'), None)","('still', 1)","(('love', 'that', 'still'), None)","(',', 0)"
"('love', 1)","('that', 1)","('still', 1)","(('that', 'still'), None)","(',', 0)","(('that', 'still', ','), None)","('\n', 0)"
"('that', 1)","('still', 1)","(',', 0)","(('still', ','), None)","('\n', 0)","('\n', 0)","('\n', 0)"
"('still', 1)","(',', 0)","('\n', 0)","('\n', 0)","('\n', 0)","('\n', 0)","('\n', 0)"
"('\n', 0)","('and', 1)","('then', 1)","(('and', 'then'), None)","('thou', 1)","(('and', 'then', 'thou'), None)","('lovest', None)"
"('and', 1)","('then', 1)","('thou', 1)","(('then', 'thou'), None)","('lovest', None)","(('then', 'thou', 'lovest'), None)","('me', 1)"
"('then', 1)","('thou', 1)","('lovest', None)","(('thou', 'lovest'), None)","('me', 1)","(('thou', 'lovest', 'me'), None)","(',', 0)"
"('thou', 1)","('lovest', None)","('me', 1)","(('lovest', 'me'), None)","(',', 0)","(('lovest', 'me', ','), None)","('for', 1)"
"('lovest', None)","('me', 1)","(',', 0)","(('me', ','), None)","('for', 1)","(('me', ',', 'for'), None)","('my', 1)"
"('me', 1)","(',', 0)","('for', 1)","((',', 'for'), None)","('my', 1)","((',', 'for', 'my'), None)","('name', 1)"
"(',', 0)","('for', 1)","('my', 1)","(('for', 'my'), None)","('name', 1)","(('for', 'my', 'name'), None)","('is', 1)"
"('for', 1)","('my', 1)","('name', 1)","(('my', 'name'), None)","('is', 1)","(('my', 'name', 'is'), None)","(""'will"", None)"
"('my', 1)","('name', 1)","('is', 1)","(('name', 'is'), None)","(""'will"", None)","(('name', 'is', ""'will""), None)","('.', 0)"
"('name', 1)","('is', 1)","(""'will"", None)","(('is', ""'will""), None)","('.', 0)","(('is', ""'will"", '.'), None)","(""'"", None)"
"('is', 1)","(""'will"", None)","('.', 0)","((""'will"", '.'), None)","(""'"", None)","((""'will"", '.', ""'""), None)","('\n', 0)"
"(""'will"", None)","('.', 0)","(""'"", None)","(('.', ""'""), None)","('\n', 0)","('\n', 0)","('\n', 0)"
"('.', 0)","(""'"", None)","('\n', 0)","('\n', 0)","('\n', 0)","('\n', 0)","('\n', 0)"
"('\n', 0)","('thou', 1)","('blind', 1)","(('thou', 'blind'), None)","('fool', 1)","(('thou', 'blind', 'fool'), None)","(',', 0)"
"('thou', 1)","('blind', 1)","('fool', 1)","(('blind', 'fool'), None)","(',', 0)","(('blind', 'fool', ','), None)","('love', 1)"
"('blind', 1)","('fool', 1)","(',', 0)","(('fool', ','), None)","('love', 1)","(('fool', ',', 'love'), None)","(',', 0)"
"('fool', 1)","(',', 0)","('love', 1)","((',', 'love'), None)","(',', 0)","((',', 'love', ','), None)","('what', 1)"
"(',', 0)","('love', 1)","(',', 0)","(('love', ','), None)","('what', 1)","(('love', ',', 'what'), None)","('dost', 1)"
"('love', 1)","(',', 0)","('what', 1)","((',', 'what'), None)","('dost', 1)","((',', 'what', 'dost'), None)","('thou', 1)"
"(',', 0)","('what', 1)","('dost', 1)","(('what', 'dost'), None)","('thou', 1)","(('what', 'dost', 'thou'), None)","('to', 1)"
"('what', 1)","('dost', 1)","('thou', 1)","(('dost', 'thou'), None)","('to', 1)","(('dost', 'thou', 'to'), None)","('mine', 1)"
"('dost', 1)","('thou', 1)","('to', 1)","(('thou', 'to'), None)","('mine', 1)","(('thou', 'to', 'mine'), None)","('eyes', 1)"
"('thou', 1)","('to', 1)","('mine', 1)","(('to', 'mine'), None)","('eyes', 1)","(('to', 'mine', 'eyes'), None)","(',', 0)"
"('to', 1)","('mine', 1)","('eyes', 1)","(('mine', 'eyes'), None)","(',', 0)","(('mine', 'eyes', ','), None)","('\n', 0)"
"('mine', 1)","('eyes', 1)","(',', 0)","(('eyes', ','), None)","('\n', 0)","('\n', 0)","('\n', 0)"
"('eyes', 1)","(',', 0)","('\n', 0)","('\n', 0)","('\n', 0)","('\n', 0)","('\n', 0)"
"('\n', 0)","('that', 1)","('they', 1)","(('that', 'they'), None)","('behold', 2)","(('that', 'they', 'behold'), None)","(',', 0)"
"('that', 1)","('they', 1)","('behold', 2)","(('they', 'behold'), None)","(',', 0)","(('they', 'behold', ','), None)","('and', 1)"
"('they', 1)","('behold', 2)","(',', 0)","(('behold', ','), None)","('and', 1)","(('behold', ',', 'and'), None)","('see', 1)"
"('behold', 2)","(',', 0)","('and', 1)","((',', 'and'), None)","('see', 1)","((',', 'and', 'see'), None)","('not', 1)"
"(',', 0)","('and', 1)","('see', 1)","(('and', 'see'), None)","('not', 1)","(('and', 'see', 'not'), None)","('what', 1)"
"('and', 1)","('see', 1)","('not', 1)","(('see', 'not'), None)","('what', 1)","(('see', 'not', 'what'), None)","('they', 1)"
"('see', 1)","('not', 1)","('what', 1)","(('not', 'what'), None)","('they', 1)","(('not', 'what', 'they'), None)","('see', 1)"
"('not', 1)","('what', 1)","('they', 1)","(('what', 'they'), None)","('see', 1)","(('what', 'they', 'see'), None)","('?', None)"
"('what', 1)","('they', 1)","('see', 1)","(('they', 'see'), None)","('?', None)","(('they', 'see', '?'), None)","('\n', 0)"
"('they', 1)","('see', 1)","('?', None)","(('see', '?'), None)","('\n', 0)","('\n', 0)","('\n', 0)"
"('see', 1)","('?', None)","('\n', 0)","('\n', 0)","('\n', 0)","('\n', 0)","('\n', 0)"
"('\n', 0)","('they', 1)","('know', 1)","(('they', 'know'), None)","('what', 1)","(('they', 'know', 'what'), None)","('beauty', 2)"
"('they', 1)","('know', 1)","('what', 1)","(('know', 'what'), None)","('beauty', 2)","(('know', 'what', 'beauty'), None)","('is', 1)"
"('know', 1)","('what', 1)","('beauty', 2)","(('what', 'beauty'), None)","('is', 1)","(('what', 'beauty', 'is'), None)","(',', 0)"
"('what', 1)","('beauty', 2)","('is', 1)","(('beauty', 'is'), None)","(',', 0)","(('beauty', 'is', ','), None)","('see', 1)"
"('beauty', 2)","('is', 1)","(',', 0)","(('is', ','), None)","('see', 1)","(('is', ',', 'see'), None)","('where', 1)"
"('is', 1)","(',', 0)","('see', 1)","((',', 'see'), None)","('where', 1)","((',', 'see', 'where'), None)","('it', 1)"
"(',', 0)","('see', 1)","('where', 1)","(('see', 'where'), None)","('it', 1)","(('see', 'where', 'it'), None)","('lies', 1)"
"('see', 1)","('where', 1)","('it', 1)","(('where', 'it'), None)","('lies', 1)","(('where', 'it', 'lies'), None)","(',', 0)"
"('where', 1)","('it', 1)","('lies', 1)","(('it', 'lies'), None)","(',', 0)","(('it', 'lies', ','), None)","('\n', 0)"
"('it', 1)","('lies', 1)","(',', 0)","(('lies', ','), None)","('\n', 0)","('\n', 0)","('\n', 0)"
"('lies', 1)","(',', 0)","('\n', 0)","('\n', 0)","('\n', 0)","('\n', 0)","('\n', 0)"
"('\n', 0)","('yet', 1)","('what', 1)","(('yet', 'what'), None)","('the', 1)","(('yet', 'what', 'the'), None)","('best', 1)"
"('yet', 1)","('what', 1)","('the', 1)","(('what', 'the'), None)","('best', 1)","(('what', 'the', 'best'), None)","('is', 1)"
"('what', 1)","('the', 1)","('best', 1)","(('the', 'best'), None)","('is', 1)","(('the', 'best', 'is'), None)","('take', 1)"
"('the', 1)","('best', 1)","('is', 1)","(('best', 'is'), None)","('take', 1)","(('best', 'is', 'take'), None)","('the', 1)"
"('best', 1)","('is', 1)","('take', 1)","(('is', 'take'), None)","('the', 1)","(('is', 'take', 'the'), None)","('worst', 1)"
"('is', 1)","('take', 1)","('the', 1)","(('take', 'the'), None)","('worst', 1)","(('take', 'the', 'worst'), None)","('to', 1)"
"('take', 1)","('the', 1)","('worst', 1)","(('the', 'worst'), None)","('to', 1)","(('the', 'worst', 'to'), None)","('be', 1)"
"('the', 1)","('worst', 1)","('to', 1)","(('worst', 'to'), None)","('be', 1)","(('worst', 'to', 'be'), None)","('.', 0)"
"('worst', 1)","('to', 1)","('be', 1)","(('to', 'be'), None)","('.', 0)","(('to', 'be', '.'), None)","('\n', 0)"
"('to', 1)","('be', 1)","('.', 0)","(('be', '.'), None)","('\n', 0)","('\n', 0)","('\n', 0)"
"('be', 1)","('.', 0)","('\n', 0)","('\n', 0)","('\n', 0)","('\n', 0)","('\n', 0)"
"('\n', 0)","('if', 1)","('eyes', 1)","(('if', 'eyes'), None)","('corrupt', 2)","(('if', 'eyes', 'corrupt'), None)","('by', 1)"
"('if', 1)","('eyes', 1)","('corrupt', 2)","(('eyes', 'corrupt'), None)","('by', 1)","(('eyes', 'corrupt', 'by'), None)","('over', 2)"
"('eyes', 1)","('corrupt', 2)","('by', 1)","(('corrupt', 'by'), None)","('over', 2)","(('corrupt', 'by', 'over'), None)","('-', 0)"
"('corrupt', 2)","('by', 1)","('over', 2)","(('by', 'over'), None)","('-', 0)","(('by', 'over', '-'), None)","('partial', 2)"
"('by', 1)","('over', 2)","('-', 0)","(('over', '-'), None)","('partial', 2)","(('over', '-', 'partial'), None)","('looks', 1)"
"('over', 2)","('-', 0)","('partial', 2)","(('-', 'partial'), None)","('looks', 1)","(('-', 'partial', 'looks'), None)","('\n', 0)"
"('-', 0)","('partial', 2)","('looks', 1)","(('partial', 'looks'), None)","('\n', 0)","('\n', 0)","('\n', 0)"
"('partial', 2)","('looks', 1)","('\n', 0)","('\n', 0)","('\n', 0)","('\n', 0)","('\n', 0)"
"('\n', 0)","('be', 1)","(""anchor'd"", None)","(('be', ""anchor'd""), None)","('in', 1)","(('be', ""anchor'd"", 'in'), None)","('the', 1)"
"('be', 1)","(""anchor'd"", None)","('in', 1)","((""anchor'd"", 'in'), None)","('the', 1)","((""anchor'd"", 'in', 'the'), None)","('bay', 1)"
"(""anchor'd"", None)","('in', 1)","('the', 1)","(('in', 'the'), None)","('bay', 1)","(('in', 'the', 'bay'), None)","('where', 1)"
"('in', 1)","('the', 1)","('bay', 1)","(('the', 'bay'), None)","('where', 1)","(('the', 'bay', 'where'), None)","('all', 1)"
"('the', 1)","('bay', 1)","('where', 1)","(('bay', 'where'), None)","('all', 1)","(('bay', 'where', 'all'), None)","('men', 1)"
"('bay', 1)","('where', 1)","('all', 1)","(('where', 'all'), None)","('men', 1)","(('where', 'all', 'men'), None)","('ride', 1)"
"('where', 1)","('all', 1)","('men', 1)","(('all', 'men'), None)","('ride', 1)","(('all', 'men', 'ride'), None)","(',', 0)"
"('all', 1)","('men', 1)","('ride', 1)","(('men', 'ride'), None)","(',', 0)","(('men', 'ride', ','), None)","('\n', 0)"
"('men', 1)","('ride', 1)","(',', 0)","(('ride', ','), None)","('\n', 0)","('\n', 0)","('\n', 0)"
"('ride', 1)","(',', 0)","('\n', 0)","('\n', 0)","('\n', 0)","('\n', 0)","('\n', 0)"
"('\n', 0)","('why', 1)","('of', 1)","(('why', 'of'), None)","(""eyes'"", 1)","(('why', 'of', ""eyes'""), None)","('falsehood', 2)"
"('why', 1)","('of', 1)","(""eyes'"", 1)","(('of', ""eyes'""), None)","('falsehood', 2)","(('of', ""eyes'"", 'falsehood'), None)","('hast', 1)"
"('of', 1)","(""eyes'"", 1)","('falsehood', 2)","((""eyes'"", 'falsehood'), None)","('hast', 1)","((""eyes'"", 'falsehood', 'hast'), None)","('thou', 1)"
"(""eyes'"", 1)","('falsehood', 2)","('hast', 1)","(('falsehood', 'hast'), None)","('thou', 1)","(('falsehood', 'hast', 'thou'), None)","('forged', 1)"
"('falsehood', 2)","('hast', 1)","('thou', 1)","(('hast', 'thou'), None)","('forged', 1)","(('hast', 'thou', 'forged'), None)","('hooks', 1)"
"('hast', 1)","('thou', 1)","('forged', 1)","(('thou', 'forged'), None)","('hooks', 1)","(('thou', 'forged', 'hooks'), None)","(',', 0)"
"('thou', 1)","('forged', 1)","('hooks', 1)","(('forged', 'hooks'), None)","(',', 0)","(('forged', 'hooks', ','), None)","('\n', 0)"
"('forged', 1)","('hooks', 1)","(',', 0)","(('hooks', ','), None)","('\n', 0)","('\n', 0)","('\n', 0)"
"('hooks', 1)","(',', 0)","('\n', 0)","('\n', 0)","('\n', 0)","('\n', 0)","('\n', 0)"
"('\n', 0)","('whereto', None)","('the', 1)","(('whereto', 'the'), None)","('judgment', 2)","(('whereto', 'the', 'judgment'), None)","('of', 1)"
"('whereto', None)","('the', 1)","('judgment', 2)","(('the', 'judgment'), None)","('of', 1)","(('the', 'judgment', 'of'), None)","('my', 1)"
"('the', 1)","('judgment', 2)","('of', 1)","(('judgment', 'of'), None)","('my', 1)","(('judgment', 'of', 'my'), None)","('heart', 1)"
"('judgment', 2)","('of', 1)","('my', 1)","(('of', 'my'), None)","('heart', 1)","(('of', 'my', 'heart'), None)","('is', 1)"
"('of', 1)","('my', 1)","('heart', 1)","(('my', 'heart'), None)","('is', 1)","(('my', 'heart', 'is'), None)","('tied', 1)"
"('my', 1)","('heart', 1)","('is', 1)","(('heart', 'is'), None)","('tied', 1)","(('heart', 'is', 'tied'), None)","('?', None)"
"('heart', 1)","('is', 1)","('tied', 1)","(('is', 'tied'), None)","('?', None)","(('is', 'tied', '?'), None)","('\n', 0)"
"('is', 1)","('tied', 1)","('?', None)","(('tied', '?'), None)","('\n', 0)","('\n', 0)","('\n', 0)"
"('tied', 1)","('?', None)","('\n', 0)","('\n', 0)","('\n', 0)","('\n', 0)","('\n', 0)"
"('\n', 0)","('why', 1)","('should', 1)","(('why', 'should'), None)","('my', 1)","(('why', 'should', 'my'), None)","('heart', 1)"
"('why', 1)","('should', 1)","('my', 1)","(('should', 'my'), None)","('heart', 1)","(('should', 'my', 'heart'), None)","('think', 1)"
"('should', 1)","('my', 1)","('heart', 1)","(('my', 'heart'), None)","('think', 1)","(('my', 'heart', 'think'), None)","('that', 1)"
"('my', 1)","('heart', 1)","('think', 1)","(('heart', 'think'), None)","('that', 1)","(('heart', 'think', 'that'), None)","('a', 1)"
"('heart', 1)","('think', 1)","('that', 1)","(('think', 'that'), None)","('a', 1)","(('think', 'that', 'a'), None)","('several', 2)"
"('think', 1)","('that', 1)","('a', 1)","(('that', 'a'), None)","('several', 2)","(('that', 'a', 'several'), None)","('plot', 1)"
"('that', 1)","('a', 1)","('several', 2)","(('a', 'several'), None)","('plot', 1)","(('a', 'several', 'plot'), None)","('\n', 0)"
"('a', 1)","('several', 2)","('plot', 1)","(('several', 'plot'), None)","('\n', 0)","('\n', 0)","('\n', 0)"
"('several', 2)","('plot', 1)","('\n', 0)","('\n', 0)","('\n', 0)","('\n', 0)","('\n', 0)"
"('\n', 0)","('which', 1)","('my', 1)","(('which', 'my'), None)","('heart', 1)","(('which', 'my', 'heart'), None)","('knows', 1)"
"('which', 1)","('my', 1)","('heart', 1)","(('my', 'heart'), None)","('knows', 1)","(('my', 'heart', 'knows'), None)","('the', 1)"
"('my', 1)","('heart', 1)","('knows', 1)","(('heart', 'knows'), None)","('the', 1)","(('heart', 'knows', 'the'), None)","('wide', 1)"
"('heart', 1)","('knows', 1)","('the', 1)","(('knows', 'the'), None)","('wide', 1)","(('knows', 'the', 'wide'), None)","(""world's"", 1)"
"('knows', 1)","('the', 1)","('wide', 1)","(('the', 'wide'), None)","(""world's"", 1)","(('the', 'wide', ""world's""), None)","('common', 2)"
"('the', 1)","('wide', 1)","(""world's"", 1)","(('wide', ""world's""), None)","('common', 2)","(('wide', ""world's"", 'common'), None)","('place', 1)"
"('wide', 1)","(""world's"", 1)","('common', 2)","((""world's"", 'common'), None)","('place', 1)","((""world's"", 'common', 'place'), None)","('?', None)"
"(""world's"", 1)","('common', 2)","('place', 1)","(('common', 'place'), None)","('?', None)","(('common', 'place', '?'), None)","('\n', 0)"
"('common', 2)","('place', 1)","('?', None)","(('place', '?'), None)","('\n', 0)","('\n', 0)","('\n', 0)"
"('place', 1)","('?', None)","('\n', 0)","('\n', 0)","('\n', 0)","('\n', 0)","('\n', 0)"
"('\n', 0)","('or', 1)","('mine', 1)","(('or', 'mine'), None)","('eyes', 1)","(('or', 'mine', 'eyes'), None)","('seeing', 2)"
"('or', 1)","('mine', 1)","('eyes', 1)","(('mine', 'eyes'), None)","('seeing', 2)","(('mine', 'eyes', 'seeing'), None)","('this', 1)"
"('mine', 1)","('eyes', 1)","('seeing', 2)","(('eyes', 'seeing'), None)","('this', 1)","(('eyes', 'seeing', 'this'), None)","(',', 0)"
"('eyes', 1)","('seeing', 2)","('this', 1)","(('seeing', 'this'), None)","(',', 0)","(('seeing', 'this', ','), None)","('say', 1)"
